Win#   	MACD-8  	roll  	rolls since shift
00000  	00000000  	0  	0
00001  	000346dd  	214749  	214749
00002  	0009d496  	644246  	429497
00003  	0010624e  	1073742  	429496
00004  	0016f007  	1503239  	429497
00005  	001d7dc0  	1932736  	429497
00006  	00240b79  	2362233  	429497
00007  	002a9931  	2791729  	429496
00008  	003126ea  	3221226  	429497
00009  	0037b4a3  	3650723  	429497
00010  	003e425b  	4080219  	429496
00011  	0044d014  	4509716  	429497
00012  	004b5dcd  	4939213  	429497
00013  	0051eb86  	5368710  	429497
00014  	0058793e  	5798206  	429496
00015  	005f06f7  	6227703  	429497
00016  	006594b0  	6657200  	429497
00017  	006c2269  	7086697  	429497
00018  	0072b021  	7516193  	429496
00019  	00793dda  	7945690  	429497
00020  	007fcb93  	8375187  	429497
00021  	0086594b  	8804683  	429496
00022  	008ce704  	9234180  	429497
00023  	009374bd  	9663677  	429497
00024  	009a0276  	10093174  	429497
00025  	00a0902e  	10522670  	429496
00026  	00a71de7  	10952167  	429497
00027  	00adaba0  	11381664  	429497
00028  	00b43959  	11811161  	429497
00029  	00bac711  	12240657  	429496
00030  	00c154ca  	12670154  	429497
00031  	00c7e283  	13099651  	429497
00032  	00ce703b  	13529147  	429496
00033  	00d4fdf4  	13958644  	429497
00034  	00db8bad  	14388141  	429497
00035  	00e21966  	14817638  	429497
00036  	00e8a71e  	15247134  	429496
00037  	00ef34d7  	15676631  	429497
00038  	00f5c290  	16106128  	429497
00039  	00fc5049  	16535625  	429497
00040  	0102de01  	16965121  	429496
00041  	01096bba  	17394618  	429497
00042  	010ff973  	17824115  	429497
00043  	0116872c  	18253612  	429497
00044  	011d14e4  	18683108  	429496
00045  	0123a29d  	19112605  	429497
00046  	012a3056  	19542102  	429497
00047  	0130be0e  	19971598  	429496
00048  	01374bc7  	20401095  	429497
00049  	013dd980  	20830592  	429497
00050  	01446739  	21260089  	429497
00051  	014af4f1  	21689585  	429496
00052  	015182aa  	22119082  	429497
00053  	01581063  	22548579  	429497
00054  	015e9e1c  	22978076  	429497
00055  	01652bd4  	23407572  	429496
00056  	016bb98d  	23837069  	429497
00057  	01724746  	24266566  	429497
00058  	0178d4fe  	24696062  	429496
00059  	017f62b7  	25125559  	429497
00060  	0185f070  	25555056  	429497
00061  	018c7e29  	25984553  	429497
00062  	01930be1  	26414049  	429496
00063  	0199999a  	26843546  	429497
00064  	01a02753  	27273043  	429497
00065  	01a6b50c  	27702540  	429497
00066  	01ad42c4  	28132036  	429496
00067  	01b3d07d  	28561533  	429497
00068  	01ba5e36  	28991030  	429497
00069  	01c0ebee  	29420526  	429496
00070  	01c779a7  	29850023  	429497
00071  	01ce0760  	30279520  	429497
00072  	01d49519  	30709017  	429497
00073  	01db22d1  	31138513  	429496
00074  	01e1b08a  	31568010  	429497
00075  	01e83e43  	31997507  	429497
00076  	01eecbfc  	32427004  	429497
00077  	01f559b4  	32856500  	429496
00078  	01fbe76d  	33285997  	429497
00079  	02027526  	33715494  	429497
00080  	020902de  	34144990  	429496
00081  	020f9097  	34574487  	429497
00082  	02161e50  	35003984  	429497
00083  	021cac09  	35433481  	429497
00084  	022339c1  	35862977  	429496
00085  	0229c77a  	36292474  	429497
00086  	02305533  	36721971  	429497
00087  	0236e2ec  	37151468  	429497
00088  	023d70a4  	37580964  	429496
00089  	0243fe5d  	38010461  	429497
00090  	024a8c16  	38439958  	429497
00091  	025119cf  	38869455  	429497
00092  	0257a787  	39298951  	429496
00093  	025e3540  	39728448  	429497
00094  	0264c2f9  	40157945  	429497
00095  	026b50b1  	40587441  	429496
00096  	0271de6a  	41016938  	429497
00097  	02786c23  	41446435  	429497
00098  	027ef9dc  	41875932  	429497
00099  	02858794  	42305428  	429496
00100  	028c154d  	42734925  	429497
00101  	0292a306  	43164422  	429497
00102  	029930bf  	43593919  	429497
00103  	029fbe77  	44023415  	429496
00104  	02a64c30  	44452912  	429497
00105  	02acd9e9  	44882409  	429497
00106  	02b367a1  	45311905  	429496
00107  	02b9f55a  	45741402  	429497
00108  	02c08313  	46170899  	429497
00109  	02c710cc  	46600396  	429497
00110  	02cd9e84  	47029892  	429496
00111  	02d42c3d  	47459389  	429497
00112  	02dab9f6  	47888886  	429497
00113  	02e147af  	48318383  	429497
00114  	02e7d567  	48747879  	429496
00115  	02ee6320  	49177376  	429497
00116  	02f4f0d9  	49606873  	429497
00117  	02fb7e91  	50036369  	429496
00118  	03020c4a  	50465866  	429497
00119  	03089a03  	50895363  	429497
00120  	030f27bc  	51324860  	429497
00121  	0315b574  	51754356  	429496
00122  	031c432d  	52183853  	429497
00123  	0322d0e6  	52613350  	429497
00124  	03295e9f  	53042847  	429497
00125  	032fec57  	53472343  	429496
00126  	03367a10  	53901840  	429497
00127  	033d07c9  	54331337  	429497
00128  	03439582  	54760834  	429497
00129  	034a233a  	55190330  	429496
00130  	0350b0f3  	55619827  	429497
00131  	03573eac  	56049324  	429497
00132  	035dcc64  	56478820  	429496
00133  	03645a1d  	56908317  	429497
00134  	036ae7d6  	57337814  	429497
00135  	0371758f  	57767311  	429497
00136  	03780347  	58196807  	429496
00137  	037e9100  	58626304  	429497
00138  	03851eb9  	59055801  	429497
00139  	038bac72  	59485298  	429497
00140  	03923a2a  	59914794  	429496
00141  	0398c7e3  	60344291  	429497
00142  	039f559c  	60773788  	429497
00143  	03a5e354  	61203284  	429496
00144  	03ac710d  	61632781  	429497
00145  	03b2fec6  	62062278  	429497
00146  	03b98c7f  	62491775  	429497
00147  	03c01a37  	62921271  	429496
00148  	03c6a7f0  	63350768  	429497
00149  	03cd35a9  	63780265  	429497
00150  	03d3c362  	64209762  	429497
00151  	03da511a  	64639258  	429496
00152  	03e0ded3  	65068755  	429497
00153  	03e76c8c  	65498252  	429497
00154  	03edfa44  	65927748  	429496
00155  	03f487fd  	66357245  	429497
00156  	03fb15b6  	66786742  	429497
00157  	0401a36f  	67216239  	429497
00158  	04083127  	67645735  	429496
00159  	040ebee0  	68075232  	429497
00160  	04154c99  	68504729  	429497
00161  	041bda52  	68934226  	429497
00162  	0422680a  	69363722  	429496
00163  	0428f5c3  	69793219  	429497
00164  	042f837c  	70222716  	429497
00165  	04361135  	70652213  	429497
00166  	043c9eed  	71081709  	429496
00167  	04432ca6  	71511206  	429497
00168  	0449ba5f  	71940703  	429497
00169  	04504817  	72370199  	429496
00170  	0456d5d0  	72799696  	429497
00171  	045d6389  	73229193  	429497
00172  	0463f142  	73658690  	429497
00173  	046a7efa  	74088186  	429496
00174  	04710cb3  	74517683  	429497
00175  	04779a6c  	74947180  	429497
00176  	047e2825  	75376677  	429497
00177  	0484b5dd  	75806173  	429496
00178  	048b4396  	76235670  	429497
00179  	0491d14f  	76665167  	429497
00180  	04985f07  	77094663  	429496
00181  	049eecc0  	77524160  	429497
00182  	04a57a79  	77953657  	429497
00183  	04ac0832  	78383154  	429497
00184  	04b295ea  	78812650  	429496
00185  	04b923a3  	79242147  	429497
00186  	04bfb15c  	79671644  	429497
00187  	04c63f15  	80101141  	429497
00188  	04cccccd  	80530637  	429496
00189  	04d35a86  	80960134  	429497
00190  	04d9e83f  	81389631  	429497
00191  	04e075f7  	81819127  	429496
00192  	04e703b0  	82248624  	429497
00193  	04ed9169  	82678121  	429497
00194  	04f41f22  	83107618  	429497
00195  	04faacda  	83537114  	429496
00196  	05013a93  	83966611  	429497
00197  	0507c84c  	84396108  	429497
00198  	050e5605  	84825605  	429497
00199  	0514e3bd  	85255101  	429496
00200  	051b7176  	85684598  	429497
00201  	0521ff2f  	86114095  	429497
00202  	05288ce7  	86543591  	429496
00203  	052f1aa0  	86973088  	429497
00204  	0535a859  	87402585  	429497
00205  	053c3612  	87832082  	429497
00206  	0542c3ca  	88261578  	429496
00207  	05495183  	88691075  	429497
00208  	054fdf3c  	89120572  	429497
00209  	05566cf5  	89550069  	429497
00210  	055cfaad  	89979565  	429496
00211  	05638866  	90409062  	429497
00212  	056a161f  	90838559  	429497
00213  	0570a3d8  	91268056  	429497
00214  	05773190  	91697552  	429496
00215  	057dbf49  	92127049  	429497
00216  	05844d02  	92556546  	429497
00217  	058adaba  	92986042  	429496
00218  	05916873  	93415539  	429497
00219  	0597f62c  	93845036  	429497
00220  	059e83e5  	94274533  	429497
00221  	05a5119d  	94704029  	429496
00222  	05ab9f56  	95133526  	429497
00223  	05b22d0f  	95563023  	429497
